NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
173,[-1],130,[-1],[-1],183,[-1],[-1],131,bib-prob,[-1],183,[-1]
187,[-1],131,[-1],133,186,[-1],122,132,addr-probs,[-1],180,[-1]
74,[-1],62,[-1],[-1],80,[-1],1217,47,two-cap-prob,[-1],74,[-1]
131,[-1],129,[-1],[-1],[-1],[-1],[-1],126,workitem-probs,128,128,[-1]
76,[-1],78,[-1],67,76,[-1],67,70,date-probs,75,76,[-1]
74,77,55,80,[-1],74,80,68,56,cap-prob,42,76,77
130,[-1],87,[-1],76,127,[-1],77,87,augeas/aptcrngsec,[-1],128,[-1]
184,[-1],129,[-1],129,183,[-1],131,129,augeas/bootconf,[-1],183,[-1]
451,[-1],283,[-1],286,449,[-1],234,257,augeas/cron,[-1],440,[-1]
240,[-1],171,[-1],126,233,[-1],126,127,augeas/aptsources,[-1],233,[-1]
134,[-1],106,[-1],76,132,[-1],77,76,augeas/avahi,[-1],124,[-1]
179,[-1],129,[-1],[-1],184,[-1],[-1],132,augeas/carbon,[-1],183,[-1]
125,[-1],95,[-1],77,133,[-1],78,74,augeas/cachefilesd,[-1],133,[-1]
133,[-1],129,[-1],128,133,[-1],76,129,augeas/activemq,[-1],183,[-1]
238,[-1],179,[-1],[-1],240,[-1],150,160,augeas/cgconfig,[-1],227,[-1]
449,[-1],288,[-1],[-1],451,[-1],1540,285,augeas/automounter,[-1],450,[-1]
398,[-1],290,[-1],[-1],386,[-1],680,234,augeas/channels,[-1],392,[-1]
[-1],[-1],7192,[-1],[-1],[-1],[-1],[-1],3245,augeas/bbhosts,[-1],[-1],[-1]
181,[-1],138,[-1],125,180,[-1],128,127,augeas/cgrules,[-1],176,[-1]
344,[-1],284,[-1],[-1],389,[-1],[-1],235,augeas/aptconf-l1,[-1],339,[-1]
234,[-1],184,[-1],182,237,[-1],132,140,augeas/access,[-1],233,[-1]
130,[-1],88,[-1],87,132,[-1],77,79,augeas/apt-upd-mgr,[-1],134,[-1]
337,[-1],227,[-1],350,341,[-1],245,181,augeas/automaster,[-1],340,[-1]
182,[-1],133,[-1],[-1],188,[-1],[-1],126,augeas/aptprefs,[-1],181,[-1]
135,[-1],119,[-1],109,119,[-1],77,86,augeas/afs-cellalias,[-1],134,[-1]
[-1],[-1],11152,[-1],[-1],[-1],[-1],[-1],9508,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],20819,[-1],[-1],[-1],[-1],[-1],10723,augeas/xml-synth,[-1],[-1],[-1]
229,[-1],128,[-1],[-1],225,[-1],[-1],131,augeas/aptconf,[-1],236,[-1]
[-1],[-1],1205,[-1],1213,[-1],[-1],559,556,augeas/xml-l1,[-1],[-1],[-1]
133,[-1],128,[-1],[-1],125,[-1],129,76,augeas/approx,[-1],133,[-1]
176,[-1],138,[-1],[-1],183,[-1],900,129,augeas/hosts,[-1],183,[-1]
182,[-1],127,[-1],127,185,[-1],130,127,augeas/backuppchosts,[-1],181,[-1]
131,[-1],127,[-1],133,127,[-1],128,130,augeas/chrony,[-1],130,[-1]
128,[-1],131,[-1],108,131,[-1],75,87,augeas/alias,[-1],135,[-1]
307,[-1],232,[-1],[-1],314,[-1],[-1],236,augeas/auth-keys,[-1],301,[-1]
87,[-1],63,[-1],46,87,[-1],55,60,flash-fill/extr-num,46,84,[-1]
1994,1935,1124,[-1],1050,2049,2009,1128,1121,flash-fill/extr-fname,1018,1988,[-1]
73,[-1],75,[-1],75,81,[-1],68,75,flash-fill/extr-quant,77,74,[-1]
3825,[-1],1921,[-1],2117,[-1],[-1],929,1044,flash-fill/extr-fname-err,[-1],4540,[-1]
