NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
125,[-1],75,[-1],[-1],72,[-1],[-1],[-1],boomerang-composers,[-1],73,[-1]
180,[-1],127,[-1],[-1],185,[-1],[-1],128,bib-prob,[-1],181,[-1]
235,[-1],125,[-1],127,231,[-1],126,124,addr-probs,[-1],222,[-1]
[-1],[-1],116,[-1],115,177,125,[-1],[-1],scheduled-jobs,[-1],[-1],[-1]
230,[-1],180,[-1],173,179,[-1],[-1],[-1],remove-last,133,[-1],[-1]
9653,[-1],4528,[-1],2837,[-1],[-1],[-1],[-1],merge-remove-last,[-1],[-1],[-1]
73,[-1],75,[-1],[-1],73,[-1],1387,67,two-cap-prob,[-1],75,[-1]
128,[-1],127,[-1],[-1],[-1],[-1],[-1],98,workitem-probs,128,132,[-1]
77,[-1],69,[-1],76,75,[-1],64,63,date-probs,79,79,[-1]
77,77,77,44,[-1],78,76,68,55,cap-prob,44,77,77
[-1],[-1],2726,[-1],1181,[-1],[-1],[-1],[-1],biflux-address-book,[-1],[-1],[-1]
122,[-1],99,[-1],79,124,[-1],77,78,augeas/aptcrngsec,[-1],124,[-1]
184,[-1],133,[-1],132,184,[-1],132,130,augeas/bootconf,[-1],182,[-1]
433,[-1],291,[-1],257,451,[-1],238,257,augeas/cron,[-1],447,[-1]
233,[-1],161,[-1],130,235,[-1],132,126,augeas/aptsources,[-1],236,[-1]
131,[-1],117,[-1],88,132,[-1],78,77,augeas/avahi,[-1],122,[-1]
185,[-1],131,[-1],[-1],183,[-1],[-1],131,augeas/carbon,[-1],183,[-1]
132,[-1],117,[-1],75,134,[-1],76,74,augeas/cachefilesd,[-1],131,[-1]
134,[-1],129,[-1],131,133,[-1],77,129,augeas/activemq,[-1],132,[-1]
257,[-1],183,[-1],[-1],248,[-1],136,143,augeas/cgconfig,[-1],259,[-1]
444,[-1],312,[-1],[-1],495,[-1],1806,322,augeas/automounter,[-1],486,[-1]
349,[-1],284,[-1],[-1],390,[-1],784,232,augeas/channels,[-1],350,[-1]
[-1],[-1],7156,[-1],[-1],[-1],[-1],[-1],3217,augeas/bbhosts,[-1],[-1],[-1]
173,[-1],125,[-1],158,186,[-1],128,126,augeas/cgrules,[-1],181,[-1]
335,[-1],248,[-1],[-1],395,[-1],[-1],233,augeas/aptconf-l1,[-1],344,[-1]
233,[-1],185,[-1],182,184,[-1],131,141,augeas/access,[-1],236,[-1]
129,[-1],106,[-1],96,130,[-1],77,78,augeas/apt-upd-mgr,[-1],131,[-1]
339,[-1],231,[-1],370,336,[-1],276,179,augeas/automaster,[-1],386,[-1]
186,[-1],132,[-1],[-1],187,[-1],[-1],128,augeas/aptprefs,[-1],188,[-1]
131,[-1],123,[-1],98,149,[-1],81,88,augeas/afs-cellalias,[-1],136,[-1]
[-1],[-1],10507,[-1],[-1],[-1],[-1],[-1],8808,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],19722,[-1],[-1],[-1],[-1],[-1],9933,augeas/xml-synth,[-1],[-1],[-1]
229,[-1],133,[-1],[-1],228,[-1],[-1],129,augeas/aptconf,[-1],228,[-1]
[-1],[-1],1443,[-1],1305,[-1],[-1],574,609,augeas/xml-l1,[-1],[-1],[-1]
127,[-1],119,[-1],[-1],130,[-1],128,105,augeas/approx,[-1],129,[-1]
183,[-1],140,[-1],[-1],182,[-1],924,129,augeas/hosts,[-1],183,[-1]
184,[-1],129,[-1],129,178,[-1],129,131,augeas/backuppchosts,[-1],180,[-1]
131,[-1],129,[-1],129,128,[-1],74,128,augeas/chrony,[-1],130,[-1]
126,[-1],128,[-1],97,132,[-1],76,97,augeas/alias,[-1],129,[-1]
299,[-1],236,[-1],[-1],291,[-1],[-1],217,augeas/auth-keys,[-1],300,[-1]
75,[-1],50,[-1],50,40,[-1],[-1],[-1],flash-fill/extr-acronym,41,41,[-1]
76,79,76,[-1],79,78,74,[-1],[-1],flash-fill/normalize-name-position,79,[-1],[-1]
77,[-1],78,[-1],69,[-1],[-1],[-1],[-1],flash-fill/extr-num,74,81,[-1]
[-1],[-1],51,[-1],44,[-1],[-1],[-1],[-1],flash-fill/extr-odds,[-1],[-1],[-1]
[-1],74,63,76,73,[-1],73,[-1],[-1],flash-fill/extr-fname,74,[-1],77
20924,[-1],11755,[-1],11128,[-1],[-1],[-1],[-1],flash-fill/normalize-spaces,[-1],[-1],[-1]
70,[-1],76,[-1],79,75,[-1],[-1],[-1],flash-fill/extr-quant,81,[-1],[-1]
[-1],988,555,[-1],[-1],[-1],1026,[-1],[-1],flash-fill/extr-fname-err,558,[-1],[-1]
