NoTP,ConstCost,SS,NMCC,SSNC,TCN25,FC,BSNC,BS,Test,ConstCostCC,TC25,NM
84,[-1],79,[-1],[-1],75,[-1],[-1],[-1],boomerang-composers,[-1],86,[-1]
202,[-1],134,[-1],[-1],147,[-1],[-1],131,bib-prob,[-1],148,[-1]
192,[-1],144,[-1],138,197,[-1],86,119,addr-probs,[-1],189,[-1]
[-1],[-1],88,[-1],84,136,135,[-1],[-1],scheduled-jobs,[-1],[-1],[-1]
259,[-1],140,[-1],141,188,[-1],[-1],[-1],remove-last,154,[-1],[-1]
[-1],[-1],[-1],[-1],[-1],[-1],[-1],[-1],[-1],merge-remove-last,[-1],[-1],[-1]
84,[-1],49,[-1],[-1],50,[-1],1206,49,two-cap-prob,[-1],49,[-1]
133,[-1],116,[-1],[-1],[-1],[-1],[-1],94,workitem-probs,143,149,[-1]
81,[-1],64,[-1],49,88,[-1],50,49,date-probs,50,91,[-1]
49,48,49,41,[-1],75,80,49,49,cap-prob,87,46,47
[-1],[-1],2706,[-1],1190,[-1],[-1],[-1],[-1],biflux-address-book,[-1],[-1],[-1]
135,[-1],86,[-1],89,135,[-1],83,87,augeas/aptcrngsec,[-1],144,[-1]
204,[-1],138,[-1],147,199,[-1],135,140,augeas/bootconf,[-1],185,[-1]
440,[-1],256,[-1],257,437,[-1],260,256,augeas/cron,[-1],461,[-1]
206,[-1],146,[-1],147,199,[-1],148,142,augeas/aptsources,[-1],199,[-1]
141,[-1],97,[-1],85,133,[-1],87,86,augeas/avahi,[-1],138,[-1]
195,[-1],159,[-1],[-1],208,[-1],[-1],142,augeas/carbon,[-1],199,[-1]
133,[-1],99,[-1],86,137,[-1],83,86,augeas/cachefilesd,[-1],143,[-1]
147,[-1],140,[-1],87,134,[-1],87,86,augeas/activemq,[-1],144,[-1]
255,[-1],166,[-1],[-1],254,[-1],139,142,augeas/cgconfig,[-1],255,[-1]
425,[-1],318,[-1],[-1],439,[-1],1501,251,augeas/automounter,[-1],441,[-1]
791,[-1],255,[-1],[-1],799,[-1],1743,256,augeas/channels,[-1],1052,[-1]
[-1],[-1],10020,[-1],[-1],[-1],[-1],[-1],3151,augeas/bbhosts,[-1],[-1],[-1]
183,[-1],132,[-1],130,182,[-1],128,131,augeas/cgrules,[-1],191,[-1]
384,[-1],241,[-1],[-1],341,[-1],[-1],237,augeas/aptconf-l1,[-1],342,[-1]
234,[-1],163,[-1],173,233,[-1],129,140,augeas/access,[-1],231,[-1]
131,[-1],77,[-1],77,126,[-1],77,78,augeas/apt-upd-mgr,[-1],129,[-1]
345,[-1],233,[-1],372,343,[-1],246,183,augeas/automaster,[-1],337,[-1]
182,[-1],125,[-1],[-1],183,[-1],[-1],131,augeas/aptprefs,[-1],175,[-1]
135,[-1],127,[-1],99,130,[-1],79,87,augeas/afs-cellalias,[-1],133,[-1]
[-1],[-1],10837,[-1],[-1],[-1],[-1],[-1],8596,augeas/anacron,[-1],[-1],[-1]
[-1],[-1],19730,[-1],[-1],[-1],[-1],[-1],9584,augeas/xml-synth,[-1],[-1],[-1]
203,[-1],136,[-1],[-1],185,[-1],[-1],141,augeas/aptconf,[-1],191,[-1]
[-1],[-1],1083,[-1],1062,[-1],[-1],486,508,augeas/xml-l1,[-1],[-1],[-1]
140,[-1],78,[-1],[-1],135,[-1],141,86,augeas/approx,[-1],139,[-1]
188,[-1],148,[-1],[-1],185,[-1],828,148,augeas/hosts,[-1],198,[-1]
149,[-1],135,[-1],140,143,[-1],96,127,augeas/backuppchosts,[-1],143,[-1]
139,[-1],118,[-1],88,140,[-1],85,101,augeas/chrony,[-1],143,[-1]
138,[-1],84,[-1],85,141,[-1],88,84,augeas/alias,[-1],135,[-1]
316,[-1],251,[-1],[-1],294,[-1],[-1],203,augeas/auth-keys,[-1],304,[-1]
49,[-1],55,[-1],54,44,[-1],[-1],[-1],flash-fill/extr-acronym,43,49,[-1]
80,87,69,[-1],65,80,83,[-1],[-1],flash-fill/normalize-name-position,49,[-1],[-1]
84,[-1],49,[-1],49,[-1],[-1],[-1],[-1],flash-fill/extr-num,47,44,[-1]
[-1],[-1],48,[-1],49,[-1],[-1],[-1],[-1],flash-fill/extr-odds,[-1],[-1],[-1]
[-1],49,49,49,49,[-1],81,[-1],[-1],flash-fill/extr-fname,49,[-1],52
20284,[-1],10539,[-1],10258,[-1],[-1],[-1],[-1],flash-fill/normalize-spaces,[-1],[-1],[-1]
84,[-1],56,[-1],49,72,[-1],[-1],[-1],flash-fill/extr-quant,51,[-1],[-1]
[-1],1016,542,[-1],[-1],[-1],1045,[-1],[-1],flash-fill/extr-fname-err,553,[-1],[-1]
